rowid,_id,USERID,edit_time,day_id,total_time,workout_time,rest_time,wasted_time,total_exercise,total_weight,recordbreak,starttime,endtime,workout_mode,TIMESTAMP,calories
80502885,1,3773197,1456181231,18,391,801,14,0,6,3797.5,6,1456180840,1456181231,0,"2021-03-15 22:17:34",0
80502883,2,3773197,1456420091,0,3359,1343,120,816,12,8153,12,1456416711,1456420070,0,"2021-03-15 22:17:34",0
80999864,3,3773197,1456767191,0,3238,767,669,1172,7,3554,6,1456763843,1456767081,0,"2021-03-15 22:17:34",0
81333866,4,3773197,1456938474,0,2541,458,0,1723,4,1449,4,1456935928,1456938469,0,"2021-03-15 22:17:34",0
81849202,5,3773197,1457288321,0,3794,844,1090,1050,9,3889,4,1457284518,1457288312,0,"2021-03-15 22:17:34",0
82167035,6,3773197,1457454308,0,249,160,120,0,2,640,2,1457454057,1457454306,0,"2021-03-15 22:17:34",0
82174134,7,3773197,1457457634,0,3219,591,1351,737,6,1833,2,1457454411,1457457630,0,"2021-03-15 22:17:34",0
82504521,8,3773197,1457630180,0,2509,599,802,568,6,4100,2,1457627608,1457630117,0,"2021-03-15 22:17:34",0
82772617,9,3773197,1457801406,0,108,72,0,0,1,284,1,1457801296,1457801404,0,"2021-03-15 22:17:34",0
82777059,10,3773197,1457804033,0,2445,515,0,1570,4,1742,0,1457801584,1457804029,0,"2021-03-15 22:17:34",0
83189330,11,3773197,1458062259,0,3339,818,1743,58,8,4117,2,1458058897,1458062236,0,"2021-03-15 22:17:34",0
83497089,12,3773197,1458234414,0,2107,556,964,137,5,1995,0,1458232303,1458234410,0,"2021-03-15 22:17:34",0
84009118,13,3773197,1458580848,0,3450,799,999,1022,7,3176,4,1458577387,1458580837,0,"2021-03-15 22:17:34",0
84476870,14,3773197,1458838800,0,2114,439,961,354,4,1751,1,1458836681,1458838795,0,"2021-03-15 22:17:34",0
84936204,15,3773197,1459185107,0,2895,733,751,781,7,3775,2,1459175007,1459177902,0,"2021-03-15 22:17:34",0
85279842,16,3773197,1459362490,0,3000,430,662,1548,4,1751,0,1459352288,1459355288,0,"2021-03-15 22:17:34",0
85552565,17,3773197,1459533194,0,3270,837,332,1381,8,4619,2,1459522723,1459525993,0,"2021-03-15 22:17:34",0
86272817,18,3773197,1459967860,0,3043,746,1563,194,6,2455,2,1459957612,1459960655,0,"2021-03-15 22:17:34",0
86589041,19,3773197,1460139101,0,2655,486,0,1809,4,2609,1,1460129237,1460131892,0,"2021-03-15 22:17:34",0
